shot_id,start_ms,end_ms,duration_ms,label,confidence,keep,selected_role,reason,class_score,position_score,duration_score,anchor_score
0,0,10240,10240,main_camera_right,0.9995202422142029,1,anchor,selected as anchor,0.0,0.0,0.0,0.0
1,10240,15840,5600,close_up_player_or_field_referee,0.9787719051043192,0,none,rejected: not selected,0.0,0.0,0.0,0.0
2,15840,17600,1760,public,0.999778131643931,0,none,rejected: not selected,0.0,0.0,0.0,0.0
3,17600,20320,2720,close_up_player_or_field_referee,0.9947666923205057,0,none,rejected: not selected,0.0,0.0,0.0,0.0
4,20320,23360,3040,public,0.9963317314783732,0,none,rejected: not selected,0.0,0.0,0.0,0.0
5,23360,25760,2400,close_up_player_or_field_referee,0.997031589349111,0,none,rejected: not selected,0.0,0.0,0.0,0.0
6,25760,28480,2720,close_up_player_or_field_referee,0.9893279472986857,0,none,rejected: not selected,0.0,0.0,0.0,0.0
7,28480,35840,7360,public,0.9947452743848165,0,none,rejected: not selected,0.0,0.0,0.0,0.0
8,35840,38720,2880,main_camera_right,0.9998525579770406,0,none,rejected: not selected,0.0,0.0,0.0,0.0
9,38720,42560,3840,close_up_player_or_field_referee,0.9741734067598978,0,none,rejected: not selected,0.0,0.0,0.0,0.0
10,42560,52000,9440,close_up_player_or_field_referee,0.8196879824002584,0,none,rejected: not selected,0.0,0.0,0.0,0.0
11,52000,56000,4000,close_up_player_or_field_referee,0.9985414147377014,0,none,rejected: not selected,0.0,0.0,0.0,0.0
12,56000,87200,31200,main_camera_center,0.9836207429567972,0,none,rejected: not selected,0.0,0.0,0.0,0.0
13,87200,95015,7815,close_up_player_or_field_referee,0.9994267225265503,0,none,rejected: not selected,0.0,0.0,0.0,0.0
