shot_id,start_ms,end_ms,duration_ms,label,confidence,keep,selected_role,reason,class_score,position_score,duration_score,anchor_score
0,0,11520,11520,main_camera_right,0.9967762033144633,1,anchor,selected as anchor,0.0,0.0,0.0,0.0
1,11520,15360,3840,close_up_player_or_field_referee,0.9988388220469157,0,none,rejected: not selected,0.0,0.0,0.0,0.0
2,15360,17440,2080,close_up_player_or_field_referee,0.9926945964495341,0,none,rejected: not selected,0.0,0.0,0.0,0.0
3,17440,19200,1760,close_up_player_or_field_referee,0.9937490224838257,0,none,rejected: not selected,0.0,0.0,0.0,0.0
4,19200,20960,1760,public,0.8484831849733988,0,none,rejected: not selected,0.0,0.0,0.0,0.0
5,20960,28640,7680,close_up_player_or_field_referee,0.967620849609375,0,none,rejected: not selected,0.0,0.0,0.0,0.0
6,28640,31200,2560,public,0.995766838391622,0,none,rejected: not selected,0.0,0.0,0.0,0.0
7,31200,34400,3200,close_up_side_staff,0.9994113445281982,0,none,rejected: not selected,0.0,0.0,0.0,0.0
8,34400,38720,4320,close_up_player_or_field_referee,0.999934991200765,0,none,rejected: not selected,0.0,0.0,0.0,0.0
9,38720,43360,4640,public,0.9988140861193339,0,none,rejected: not selected,0.0,0.0,0.0,0.0
10,43360,51360,8000,main_camera_right,0.9994280934333801,0,none,rejected: not selected,0.0,0.0,0.0,0.0
11,51360,55360,4000,close_up_player_or_field_referee,0.49709561249862116,0,none,rejected: not selected,0.0,0.0,0.0,0.0
12,55360,61120,5760,behind_the_goal,0.8856973250706991,0,none,rejected: not selected,0.0,0.0,0.0,0.0
13,61120,66880,5760,close_up_player_or_field_referee,0.9996484319368998,0,none,rejected: not selected,0.0,0.0,0.0,0.0
14,66880,72800,5920,close_up_player_or_field_referee,0.9989065329233805,0,none,rejected: not selected,0.0,0.0,0.0,0.0
15,72800,96001,23201,main_camera_center,0.9991655349731445,0,none,rejected: not selected,0.0,0.0,0.0,0.0
